name,releaseDate,release_month,publisherClass,copiesSold,price,revenue,avgPlaytime,reviewScore,reviewScore_clean,has_review,is_free,log_revenue,log_copies,log_price,log_playtime,revenue_per_copy,steamId,publishers,developers
WWE 2K24,2024-03-07,3,AAA,165301,99.99,8055097.0,42.36514031444467,71,71.0,True,False,6.906070774589017,5.218275480874341,1.9999565683801925,1.6270086491398836,48.72987459241021,2315690,2K,Visual Concepts
EARTH DEFENSE FORCE 6,2024-07-25,7,Indie,159806,59.99,7882151.0,29.65106126155342,57,57.0,True,False,6.89664475047866,5.2035930810979565,1.778078861937455,1.472040242111351,49.32324818842847,2291060,D3PUBLISHER,SANDLOT
Sins of a Solar Empire II,2024-08-15,8,Indie,214192,49.99,7815247.0,12.45259326556514,88,88.0,True,False,6.892942708400231,5.330803246044215,1.6988831367525903,1.0952598031302678,36.48710969597371,1575940,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment"
Legend of Mortal,2024-06-14,6,Indie,440998,19.99,7756399.0,24.79781729089117,76,76.0,True,False,6.889660141696151,5.644436619873885,1.300812794118117,1.3944134558165706,17.588286114676258,1859910,"Paras Games,Obb Studio Inc.",Obb Studio Inc.
Shin Megami Tensei V: Vengeance,2024-06-13,6,AA,141306,59.99,7629252.0,34.25849627863547,96,96.0,True,False,6.882481960209559,5.150160602836307,1.778078861937455,1.5347682963929714,53.99099825909728,1875830,SEGA,ATLUS
Soulmask,2024-05-30,5,Indie,304685,29.99,7540563.0,95.69781345051696,79,79.0,True,False,6.877403772748456,5.483851073922109,1.476976465759527,1.9809020149218453,24.74871752793869,2646460,Qooland Games,CampFire Studio
The Universim,2024-01-22,1,Indie,328945,29.99,7534369.0,16.86853054897363,81,81.0,True,False,6.877046886206973,5.51712328945972,1.476976465759527,1.2270772519864168,22.90464667345605,352720,Crytivo,Crytivo
Bellwright,2024-04-23,4,Indie,280955,29.99,7481940.0,41.418884797624166,78,78.0,True,False,6.874014221133852,5.448636765397237,1.476976465759527,1.6171984013474336,26.63038564894734,1812450,"Donkey Crew,Snail Games USA",Donkey Crew
Night of the Dead,2024-05-31,5,Indie,394364,29.99,7091792.0,27.59707192847936,79,79.0,True,False,6.85075598939688,5.595897262975718,1.476976465759527,1.4408630055158358,17.982858475925795,1377380,Jackto Studios,Jackto Studios
Empires of the Undergrowth,2024-06-07,6,AA,408292,29.99,6950952.0,38.60212424802546,95,95.0,True,False,6.842044289486892,5.61097087051841,1.476976465759527,1.5866112042523655,17.024462884406258,463530,"Hooded Horse,Slug Disco",Slug Disco
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2024-06-13,6,AA,212325,49.99,6828446.0,30.27494811660254,0,,False,False,6.834321879316332,5.327001132756803,1.6988831367525903,1.4810834075477892,32.16034852231249,2552430,Square Enix,Square Enix
ANIMAL WELL,2024-05-09,5,Indie,305891,24.99,6420393.0,8.485381327666017,96,96.0,True,False,6.807561612571592,5.485566699253926,1.39776625612645,0.9286713640113754,20.989152998944068,813230,Bigmode,Billy Basso
Age of Mythology: Retold,2024-09-04,9,AAA,236419,29.99,6381185.0,9.389112456991116,91,91.0,True,False,6.804901335644878,5.373682376031444,1.476976465759527,0.9726245408018972,26.990999031380728,1934680,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games"
STAR WARS™: Battlefront Classic Collection,2024-03-13,3,Indie,185054,35.01,6048340.0,4.360934964168404,0,,False,False,6.781636196509933,5.267298476943439,1.5441921107650325,0.6395796099677632,32.68418947982751,2446550,Aspyr,Aspyr
Another Crab's Treasure,2024-04-25,4,Indie,264723,29.99,5719324.0,10.434608015373133,95,95.0,True,False,6.757344700048405,5.422791675865544,1.476976465759527,1.0184761390787185,21.604937991787644,1887840,Aggro Crab,Aggro Crab
Homeworld 3,2024-05-13,5,AA,102487,59.99,5516030.0,8.497439609058835,42,42.0,True,False,6.7416266195050865,5.010668780647157,1.778078861937455,0.9292880867536906,53.82175300281987,1840080,Gearbox Publishing,Blackbird Interactive
Winter Memories,2024-01-05,1,Indie,424281,19.99,5478333.0,8.98400541606548,0,,False,False,6.738648427273004,5.627653583781903,1.300812794118117,0.9534700050707036,12.9120394267007,2495450,Kagura Games,Dojin Otome
Nine Sols,2024-05-28,5,Indie,214407,29.99,5475592.0,17.894843749042394,96,96.0,True,False,6.738431080303814,5.331238960179998,1.476976465759527,1.2527279106486306,25.53830798434753,1809540,RedCandleGames,RedCandleGames
Outpost: Infinity Siege,2024-03-26,3,AA,278031,24.99,5312327.0,35.08670209892025,68,68.0,True,False,6.725284800156017,5.444093221739489,1.39776625612645,1.54514254953345,19.106959295905853,1566690,Lightning Games,Team Ranger
Sker Ritual,2024-04-18,4,Indie,267953,24.99,5058868.0,6.477539083793293,82,82.0,True,False,6.704053347600006,5.428058623764972,1.39776625612645,0.8114100420861992,18.879684123708262,1492070,Wales Interactive,Wales Interactive
shapez 2,2024-08-15,8,Indie,261028,24.99,4810868.0,16.307715687349233,99,99.0,True,False,6.682223440947863,5.4166870958182285,1.39776625612645,1.212393131251317,18.43046722956924,2162800,"tobspr Games,Gamera Games",tobspr Games
Senua’s Saga: Hellblade II,2024-05-21,5,AAA,107010,49.99,4747832.0,5.160077378916766,88,88.0,True,False,6.676495343230363,5.029424364058016,1.6988831367525903,0.7126562142211259,44.36811512942715,2461850,Xbox Game Studios,Ninja Theory
Pixel Gun 3D: PC Edition,2024-04-02,4,Indie,1626877,0.0,4707782.0,11.89782337701754,62,62.0,True,True,6.672816344063268,6.2113547193532295,,1.0754675175427193,2.893754106794798,2524890,Cubic Games Studio,Cubic Games Studio
