variable,statistic,method,estimate,ci_low,ci_high,ci_width,relative_width
revenue,mean,t-interval (Week 2),2632381.9826861774,1223878.2591370423,4040885.7062353124,2817007.44709827,1.070136274152619
revenue,mean,BCa bootstrap,2632381.9826861774,1688635.8721433165,5006366.519542791,3317730.6473994744,1.2603530449687788
revenue,10% trimmed mean,BCa bootstrap,278818.0716894589,244506.66259867192,320530.31275525014,76023.65015657822,0.27266399805408453
revenue,median,BCa bootstrap,109053.0,98847.5,120297.0,21449.5,0.19668876601285615
revenue,geometric mean,"t on log scale, back-transformed",171715.10178149768,157388.19874781594,187346.16962657936,29957.970878763415,0.17446322756681026
revenue,geometric mean,BCa bootstrap,171715.10178149768,158198.8710288899,187245.037873104,29046.16684421411,0.1691532459455691
copiesSold,mean,t-interval (Week 2),141482.57,84111.90380161122,198853.2361983888,114741.33239677758,0.8109927067113467
copiesSold,mean,BCa bootstrap,141482.57,99976.1961439818,224176.0891665384,124199.89302255661,0.8778458931199554
copiesSold,10% trimmed mean,BCa bootstrap,22624.236666666668,20189.372611443425,25473.265098434607,5283.8924869911825,0.23355008899708804
copiesSold,median,BCa bootstrap,11928.5,10536.0,13134.5,2598.5,0.21783962778220228
copiesSold,geometric mean,"t on log scale, back-transformed",15434.953356992852,14228.817883000742,16743.329424236224,2514.5115412354826,0.16291021314270934
copiesSold,geometric mean,BCa bootstrap,15434.953356992852,14244.357934629053,16731.91582802487,2487.557893395817,0.16116393978403706
avgPlaytime,mean,t-interval (Week 2),12.571084359673309,11.479434351168276,13.662734368178342,2.1833000170100654,0.1736763476040188
avgPlaytime,mean,BCa bootstrap,12.571084359673309,11.610117049891786,13.842003431699574,2.2318863818077883,0.17754127790021365
avgPlaytime,10% trimmed mean,BCa bootstrap,8.558342816341609,8.076602791801395,9.08033197368462,1.0037291818832248,0.11728078711297565
avgPlaytime,median,BCa bootstrap,6.763298604016614,6.473380892880699,7.253682427332118,0.7803015344514188,0.1153729237960912
avgPlaytime,geometric mean,"t on log scale, back-transformed",7.097929526524484,6.7457060102966455,7.468544209695343,0.7228381993986979,0.10183789465611066
avgPlaytime,geometric mean,BCa bootstrap,7.097929526524484,6.7513614379517755,7.4681427599132935,0.716781321961518,0.10098456448221338
price (paid),mean,t-interval (Week 2),18.5719222614841,17.933253260892677,19.210591262075525,1.277338001182848,0.06877791018067586
price (paid),mean,BCa bootstrap,18.5719222614841,17.957339071065206,19.22890895845105,1.2715698873858443,0.06846732769407102
price (paid),10% trimmed mean,BCa bootstrap,16.771147396293028,16.235629660063363,17.322288580370383,1.0866589203070198,0.0647933557931288
price (paid),median,BCa bootstrap,14.99,14.989999999999998,15.99,1.0000000000000018,0.06671114076050712
price (paid),geometric mean,"t on log scale, back-transformed",15.246728946411055,14.743008776644619,15.767659579338273,1.024650802693655,0.06720463164886581
price (paid),geometric mean,BCa bootstrap,15.246728946411055,14.746750983822729,15.768892718575595,1.022141734752866,0.0670400673052871
reviewScore (scored),mean,t-interval (Week 2),81.58600999286224,80.85673574321663,82.31528424250786,1.4585484992912257,0.017877433881358217
reviewScore (scored),mean,BCa bootstrap,81.58600999286224,80.84796573875803,82.29015599842519,1.4421902596671572,0.01767693088304393
reviewScore (scored),10% trimmed mean,BCa bootstrap,83.4299732381802,82.71454058876003,84.12399643175736,1.4094558429973318,0.01689387864207441
reviewScore (scored),median,BCa bootstrap,85.0,,,,
reviewScore (scored),geometric mean,"t on log scale, back-transformed",80.05791547747147,79.17688995655756,80.94874443937587,1.7718544828183127,0.02213215860356641
reviewScore (scored),geometric mean,BCa bootstrap,80.05791547747147,79.13827353832849,80.89986290516403,1.761589366835537,0.022003937478627625
