quantile,term,coef,lo,hi,p,multiplier
0.1,AA (vs Indie),0.21344446279211515,0.11702540781150834,0.309863517772722,1.5100868431359257e-05,1.6347240906406129
0.1,AAA (vs Indie),0.1956289950115972,0.04310941565432727,0.34814857436886715,0.01197676347920262,1.5690218624731316
0.1,free-to-play,-0.07984781784585748,-0.20809591016174067,0.048400274470025706,0.22216274075514872,0.8320552824799018
0.1,"price (x10, paid games)",0.18419684864403862,0.06012952924794657,0.3082641680401307,0.0036438232277356906,1.5282586009197576
0.1,review score (+10 pts),0.0051535659676212875,-0.016498321201660532,0.026805453136903107,0.6406338172630478,1.0119372106951774
0.1,playtime (x10),0.15830057989331747,0.08791605224397718,0.22868510754265775,1.1033096089212504e-05,1.4397947309486614
0.25,AA (vs Indie),0.391933616026062,0.2751120314200805,0.5087552006320436,6.582890994044608e-11,2.465662420218419
0.25,AAA (vs Indie),0.6638270933771011,0.4796263390211084,0.8480278477330938,2.4514481140587735e-12,4.611339457305176
0.25,free-to-play,-0.04358839951643212,-0.20238812834609923,0.115211329313235,0.5903512536600153,0.9045063090838746
0.25,"price (x10, paid games)",0.29622741660788066,0.1469614487809717,0.4454933844347896,0.00010367445400321977,1.9780051436313604
0.25,review score (+10 pts),0.009082990700923332,-0.015934668782338585,0.03410065018418525,0.47645428566033476,1.0211345968922039
0.25,playtime (x10),0.3110150910776639,0.22176574827270956,0.40026443388261823,1.2145216528465147e-11,2.046515748822135
0.5,AA (vs Indie),0.5521473763961304,0.4174218871845145,0.6868728656077463,1.9088432176547393e-15,3.5657211446561017
0.5,AAA (vs Indie),0.654683215818082,0.44266196713470496,0.866704464501459,1.7781919629774441e-09,4.515264706439206
0.5,free-to-play,0.02778195341676515,-0.15369074690775755,0.20925465374128785,0.7639816736535182,1.0660607488581189
0.5,"price (x10, paid games)",0.4932693444134024,0.33116374685751326,0.6553749419692916,3.0214803503055658e-09,3.113646786138612
0.5,review score (+10 pts),0.04447270559649641,0.016009872472976958,0.07293553872001586,0.0022179816178490397,1.1078289387003954
0.5,playtime (x10),0.47255013469481,0.37236085382913703,0.5727394155604829,8.004511803605368e-20,2.9685894158676325
0.75,AA (vs Indie),0.5314262097424631,0.35687641198840875,0.7059760074965176,2.9630851687410523e-09,3.3995873906927705
0.75,AAA (vs Indie),0.33165059868518654,0.06004299866972268,0.6032581987006504,0.016736998995478782,2.146103183032987
0.75,free-to-play,0.415986722896756,0.17685746631721022,0.6551159794763017,0.000662156413916014,2.6060738767765144
0.75,"price (x10, paid games)",0.7435504650989877,0.533972306027898,0.9531286241700774,5.2343907892167515e-12,5.540519211337396
0.75,review score (+10 pts),0.07360977281191339,0.035799446355053534,0.11142009926877325,0.00013987694137010132,1.184703776351964
0.75,playtime (x10),0.6239091566454498,0.49471484950594474,0.7531034637849547,1.1181470313228653e-20,4.206386322831957
0.9,AA (vs Indie),0.47197546209098107,0.25889170209124046,0.6850592220907217,1.4934135938963306e-05,2.964663879434459
0.9,AAA (vs Indie),0.48505449356616737,0.16035649256934636,0.8097524945629884,0.0034397100784812015,3.0553044567702132
0.9,free-to-play,0.18350777003134056,-0.09640054292232131,0.4634160829850024,0.19863271024883808,1.525835693531275
0.9,"price (x10, paid games)",0.8064240809974734,0.539538885036283,1.0733092769586638,3.874193159486054e-09,6.403598305059535
0.9,review score (+10 pts),0.07572412606949896,0.027136780651549668,0.12431147148744826,0.002276001901038245,1.1904855437544244
0.9,playtime (x10),0.8057257147414987,0.6584787466913087,0.9529726827916887,7.009542774171397e-26,6.393309288170577
