outcome,contrast,n1,n2,median_1,median_2,median_ratio,ratio_lo,ratio_hi,cliffs_delta,delta_lo,delta_hi,magnitude,p_dunn_holm
revenue,AA vs Indie,146,1302,672187.0,90773.0,7.405142498319985,4.720276229091907,9.932348243710518,0.4834185552258907,0.3982524251415105,0.5614084232897755,large,3.2298084763544768e-21
revenue,AAA vs Indie,52,1302,928862.0,90773.0,10.23280050235202,5.709860811578951,14.653353077748674,0.5443696088857379,0.38606064634290443,0.6821753515301903,large,4.119341688202795e-11
revenue,AAA vs AA,52,146,928862.0,672187.0,1.3818505862207986,0.7842532303494328,2.414933091706738,0.09167544783983139,-0.10172550052687036,0.26083377239199157,negligible,0.485816269700292
copiesSold,AA vs Indie,146,1302,30682.0,10213.5,3.0040632496206,2.133325118628961,4.7004328558454125,0.3048629084864172,0.2087078888117332,0.407547135071439,small,2.2627779268190534e-09
copiesSold,AAA vs Indie,52,1302,43160.5,10213.5,4.2258285602389,2.6442698487236074,6.198400704862439,0.5168084603568475,0.3927164569301666,0.628526379534444,large,1.1879744258105925e-09
copiesSold,AAA vs AA,52,146,43160.5,30682.0,1.4067042565673684,0.7311878266511713,2.311486283868241,0.15147523709167543,-0.013514225500526868,0.3058746048472075,small,0.028755376866291725
price,AA vs Indie,143,1229,29.99,14.99,2.000667111407605,1.66711140760507,2.000667111407605,0.588823706805806,0.49785344842301726,0.6772082880504361,large,9.011071606722286e-30
price,AAA vs Indie,43,1229,39.99,14.99,2.6677785190126753,2.000667111407605,3.334889926617745,0.5556985259333547,0.33645807709046877,0.7491877495411282,large,1.4236846217313164e-10
price,AAA vs AA,43,143,39.99,29.99,1.3334444814938313,1.0,2.000400160064026,0.22523987640266707,-0.014319401528703837,0.4508537973654253,small,0.9933293477038708
avgPlaytime,AA vs Indie,146,1302,11.203419228257287,6.33104159475616,1.7696012671180037,1.3777631238873107,2.0467477062552164,0.31599436062538144,0.22784414914883316,0.3980927656082317,small,1.084249241315796e-09
avgPlaytime,AAA vs Indie,51,1302,11.999446787110118,6.33104159475616,1.8953353263464505,1.4368423921020734,2.4664408040817407,0.4108309990662933,0.28452983343875193,0.5236024517333815,medium,1.260359568655999e-06
avgPlaytime,AAA vs AA,51,146,11.999446787110118,11.203419228257287,1.071052197783074,0.801347828323981,1.5470448152792737,0.09347300564061234,-0.08790625839376848,0.26861402095084613,negligible,0.31363453904347827
