X,Y,n,spearman_rho,CI95%,p_raw,p_holm
revenue,copies,1500,0.8687990888628451,[0.86 0.88],0.0,0.0
revenue,price,1500,0.3117624673762607,[0.27 0.36],3.607534164002616e-35,2.525273914801831e-34
revenue,playtime,1500,0.4381002332128154,[0.4  0.48],2.2381338196588588e-71,2.0143204376929728e-70
revenue,review,1401,0.03747952274199613,[-0.01  0.09],0.160886422999345,0.482659268998035
copies,price,1500,-0.07685449992821565,[-0.13 -0.03],0.0028967569349111462,0.01448378467455573
copies,playtime,1500,0.329658179549659,[0.28 0.37],2.349153501445985e-39,1.879322801156788e-38
copies,review,1401,0.0578859015061071,[0.01 0.11],0.030269308669327092,0.12107723467730837
price,playtime,1500,0.2733802187292181,[0.23 0.32],4.041594111344615e-27,2.4249564668067692e-26
price,review,1401,-0.004540895415579193,[-0.06  0.05],0.8651559565000441,1.0
playtime,review,1401,0.015514796334050333,[-0.04  0.07],0.5617565640331403,1.0
